beta_I,mean_X_final
0.000000000000000000e+00,4.125000000000000333e-01
1.000000000000000056e-01,1.706250000000000266e-01
2.000000000000000111e-01,5.177083333333333259e-01
3.000000000000000444e-01,2.195833333333333248e-01
4.000000000000000222e-01,2.097916666666666541e-01
5.000000000000000000e-01,2.052083333333333259e-01
6.000000000000000888e-01,2.789583333333333082e-01
7.000000000000000666e-01,3.356249999999999512e-01
8.000000000000000444e-01,2.277083333333333459e-01
9.000000000000000222e-01,2.052083333333333259e-01
1.000000000000000000e+00,2.058333333333333404e-01
1.100000000000000089e+00,3.204166666666666829e-01
1.200000000000000178e+00,4.510416666666666741e-01
1.300000000000000044e+00,2.672916666666666496e-01
1.400000000000000133e+00,3.977083333333333304e-01
1.500000000000000000e+00,4.014583333333333615e-01
1.600000000000000089e+00,2.752083333333333326e-01
1.700000000000000178e+00,5.789583333333333526e-01
1.800000000000000044e+00,4.052083333333333925e-01
1.900000000000000133e+00,5.752083333333333215e-01
2.000000000000000000e+00,3.475000000000000311e-01
2.100000000000000089e+00,3.441666666666666208e-01
2.200000000000000178e+00,4.020833333333333481e-01
2.300000000000000266e+00,7.010416666666665630e-01
2.400000000000000355e+00,6.931249999999999911e-01
2.500000000000000000e+00,5.222916666666665986e-01
2.600000000000000089e+00,5.393750000000000488e-01
2.700000000000000178e+00,5.893749999999999822e-01
2.800000000000000266e+00,4.689583333333333104e-01
2.900000000000000355e+00,5.722916666666666430e-01
3.000000000000000000e+00,1.558333333333333237e-01
3.100000000000000089e+00,3.227083333333333193e-01
3.200000000000000178e+00,2.950000000000000400e-01
3.300000000000000266e+00,5.210416666666666252e-01
3.400000000000000355e+00,3.847916666666666430e-01
3.500000000000000000e+00,2.710416666666666807e-01
3.600000000000000089e+00,2.929166666666667140e-01
3.700000000000000178e+00,4.543749999999999734e-01
3.800000000000000266e+00,4.000000000000000222e-01
3.900000000000000355e+00,4.054166666666666474e-01
4.000000000000000000e+00,3.212500000000000355e-01
4.100000000000000533e+00,3.887500000000000400e-01
4.200000000000000178e+00,3.347916666666666541e-01
4.299999999999999822e+00,3.497916666666667229e-01
4.400000000000000355e+00,3.947916666666666519e-01
4.500000000000000000e+00,3.479166666666666519e-01
4.600000000000000533e+00,3.252083333333333215e-01
4.700000000000000178e+00,5.739583333333333481e-01
4.800000000000000711e+00,6.445833333333333970e-01
4.900000000000000355e+00,4.633333333333333748e-01
5.000000000000000000e+00,3.302083333333333259e-01
