network_type,network_label,subsidy_end,X0_random,X0_hubs,delta_a0,T,n_trials,mean_final_X
random,ER,5,0.1,0.03,0.4,100,40,0.531625
random,ER,10,0.1,0.03,0.4,100,40,0.531625
random,ER,15,0.1,0.03,0.4,100,40,0.531625
random,ER,20,0.1,0.03,0.4,100,40,0.531625
BA,BA,5,0.1,0.03,0.4,100,40,1.0
BA,BA,10,0.1,0.03,0.4,100,40,1.0
BA,BA,15,0.1,0.03,0.4,100,40,1.0
BA,BA,20,0.1,0.03,0.4,100,40,1.0
WS,WS,5,0.1,0.03,0.4,100,40,0.825
WS,WS,10,0.1,0.03,0.4,100,40,0.825
WS,WS,15,0.1,0.03,0.4,100,40,0.825
WS,WS,20,0.1,0.03,0.4,100,40,0.825
